id,name,city,state,street,zip,country,url,grade_levels,enrollment_size,school_type,student_body
40748,A Step Up Academy,Jenkintown,PA,520 Meetinghouse Rd,19046-2934,US,/school-directory/school/40748,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",101-200,Day,CoEd
38695,Abington Friends School,Jenkintown,PA,575 Washington Ln,19046-3242,US,/school-directory/school/38695,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
41970,Abiqua School,Salem,OR,6974 Bates Rd S,97306-9400,US,/school-directory/school/41970,"Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
42329,Abraham Joshua Heschel Day School,Northridge,CA,17701 Devonshire St,91325-1213,US,/school-directory/school/42329,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
43169,Academe of the Oaks,Decatur,GA,146 New St,30030-4132,US,/school-directory/school/43169,High School,0-100,Day,CoEd
41436,"Academics West, LLC",New York,NY,37 West 65th Street,10024,US,/school-directory/school/41436,"Elementary/Primary School, Middle School/Junior High School, High School",0-100,Day,CoEd
42548,Academy at the Lakes,Land O Lakes,FL,2331 Collier Pkwy,34639-5284,US,/school-directory/school/42548,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
41743,Academy High,Champaign,IL,2001 Fox Drive,61820-2000,US,/school-directory/school/41743,High School,0-100,Day,CoEd
41867,Academy Hill,Springfield,MA,1190 Liberty St,01104-1153,US,/school-directory/school/41867,"Pre-School, Elementary/Primary School, Middle School/Junior High School",0-100,Day,CoEd
40517,Academy of Notre Dame de Namur,Villanova,PA,560 Sproul Rd,19085-1220,US,/school-directory/school/40517,"Middle School/Junior High School, High School",501-700,Day,Girls
40224,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,CT,200 High St,06460-3249,US,/school-directory/school/40224,High School,201-300,Day,Girls
41751,Academy of Our Lady of Peace,San Diego,CA,4860 Oregon St,92116-1340,US,/school-directory/school/41751,High School,701-1000,Day,Girls
41120,Academy of St. Joseph,New York,NY,111 Washington Pl,10014-6820,US,/school-directory/school/41120,,0-100,Day,CoEd
42748,Academy of The Holy Cross,Kensington,MD,4920 Strathmore Ave,20895-1207,US,/school-directory/school/42748,High School,301-500,Day Services Available Lunch,Girls
42438,Academy of the New Church,Bryn Athyn,PA,2815 Benade Circle PO Box 707,19009,US,/school-directory/school/42438,High School,101-200,Boarding Day Services Available Lunch,CoEd
41898,Academy of the Sacred Heart,New Orleans,LA,4521 Saint Charles Ave,70115-4831,US,/school-directory/school/41898,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",701-1000,Day,Girls
42596,Academy of the Sacred Heart,Bloomfield Hills,MI,1250 Kensington Rd,48304-3029,US,/school-directory/school/42596,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
40356,Academy Prep Center of St Petersburg,Saint Petersburg,FL,2301 22nd Ave S,33712-3019,US,/school-directory/school/40356,Middle School/Junior High School,101-200,Day,CoEd
40552,Academy Prep Center of Tampa,Tampa,FL,1407 E Columbus Dr,33605-3413,US,/school-directory/school/40552,Middle School/Junior High School,101-200,,CoEd
43924,ACE Academy,Austin,TX,5206 Balcones Dr.,78731,US,/school-directory/school/43924,,0-100,Day,CoEd
95981,Acera School,Winchester,MA,5 Lowell Ave,01890-1129,US,/school-directory/school/95981,,101-200,Day,CoEd
44146,Ad Astra School,Bastrop,TX,830 Farm to Market 969,78602,US,/school-directory/school/44146,,0-100,,CoEd
40744,Adelson Educational Campus,Las Vegas,NV,9700 Hillpointe Road,89134-0100,US,/school-directory/school/40744,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
40751,Admiral Farragut Academy,Saint Petersburg,FL,501 Park St N,33710-6799,US,/school-directory/school/40751,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Boarding Day,CoEd
40609,Advent Episcopal Day School,Birmingham,AL,2019 6th Ave N,35203-2701,US,/school-directory/school/40609,"Pre-School, Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
42765,Aidan Montessori School,Washington,DC,2700 27th St NW,20008-2601,US,/school-directory/school/42765,"Pre-School, Elementary/Primary School",101-200,Day,CoEd
43160,AIM Academy,Conshohocken,PA,1200 River Rd,19428-2442,US,/school-directory/school/43160,"Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
41872,Akiva School,Nashville,TN,809 Percy Warner Blvd,37205-4009,US,/school-directory/school/41872,Elementary/Primary School,101-200,Day,CoEd
43327,Alabama School of Fine Arts,Birmingham,AL,"1800 Rev. Abraham Woods, Jr. Blvd.",35203,US,/school-directory/school/43327,"Middle School/Junior High School, High School",301-500,Boarding Day Services Available Lunch,CoEd
38707,Albany Academy,Albany,NY,135 Academy Rd,12208-3105,US,/school-directory/school/38707,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School, Post-Graduate School",501-700,Day,CoEd
42323,Albert Einstein Academy,Wilmington,DE,101 Garden of Eden Rd,19803-1511,US,/school-directory/school/42323,Elementary/Primary School,0-100,Day,CoEd
38709,Albuquerque Academy,Albuquerque,NM,6400 Wyoming Blvd NE,87109-3899,US,/school-directory/school/38709,"Middle School/Junior High School, High School",1001+,Day,CoEd
41914,Alcuin School,Dallas,TX,6144 Churchill Way,75230-1804,US,/school-directory/school/41914,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
42525,Alexander Dawson School,Lafayette,CO,10455 Dawson Dr,80026-9742,US,/school-directory/school/42525,"Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
42553,Alexander Montessori School,Miami,FL,6050 SW 57th Ave,33143-2346,US,/school-directory/school/42553,,301-500,Day,CoEd
40671,Alexandria Country Day School,Alexandria,LA,5603 Bayou Rapides Rd,71303-4053,US,/school-directory/school/40671,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
